ID,start,end,code,team,action,half,pos_x,pos_y
3003,3750.03,3770.03,33. Kirby Winfield III,Seattle United 06 Tango,Picking-ups (in opp. half),2nd half,75.2,24.4
3004,3750.03,3770.03,33. Kirby Winfield III,Seattle United 06 Tango,Throw-in attacks,2nd half,75.2,24.4
3005,3750.03,3770.03,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,2nd half,75.2,24.4
3006,3751.69,3771.69,40. Mateo Garces,Seattle United 06 Tango,Passes into the penalty box,2nd half,77.7,6.6
3007,3751.69,3771.69,40. Mateo Garces,Seattle United 06 Tango,Throw-in attacks,2nd half,77.7,6.6
3008,3751.69,3771.69,40. Mateo Garces,Seattle United 06 Tango,Crosses (accurate),2nd half,77.7,6.6
3009,3751.69,3771.69,40. Mateo Garces,Seattle United 06 Tango,Passes accurate,2nd half,77.7,6.6
3010,3751.69,3771.69,40. Mateo Garces,Seattle United 06 Tango,Throw-in attacks,2nd half,77.7,6.6
3011,3752.75,3772.75,29. Jackson Peterson,Seattle United 06 Tango,Throw-in attacks,2nd half,90.6,23.6
3012,3752.75,3772.75,29. Jackson Peterson,Seattle United 06 Tango,Passes accurate,2nd half,90.6,23.6
3013,3752.75,3772.75,29. Jackson Peterson,Seattle United 06 Tango,Passes into the penalty box,2nd half,90.6,23.6
3014,3752.75,3772.75,29. Jackson Peterson,Seattle United 06 Tango,Throw-in attacks,2nd half,0.0,0.0
3015,3754.15,3774.15,42. Loic Charles-Antoine,Seattle United 06 Tango,Lost balls,2nd half,97.8,28.5
3016,3754.15,3774.15,5. Noname Noname,Sound FC 06,Challenges (won),2nd half,7.2,39.5
3017,3754.15,3774.15,42. Loic Charles-Antoine,Seattle United 06 Tango,Dribbles (Unsuccessful actions),2nd half,97.8,28.5
3018,3754.15,3774.15,5. Noname Noname,Sound FC 06,Tackles (Successful actions),2nd half,7.2,39.5
3019,3754.15,3774.15,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (lost),2nd half,97.8,28.5
3020,3754.15,3774.15,42. Loic Charles-Antoine,Seattle United 06 Tango,Throw-in attacks,2nd half,97.8,28.5
3021,3756.04,3776.04,10. Noname A20,Sound FC 06,Picking-ups,2nd half,9.4,41.3
3022,3756.04,3776.04,10. Noname A20,Sound FC 06,Passes accurate,2nd half,9.4,41.3
3023,3759.99,3779.99,7. Noname Noname,Sound FC 06,Passes accurate,2nd half,23.2,8.3
3024,3762.6,3782.6,18. Noname Noname,Sound FC 06,Lost balls,2nd half,43.4,5.4
3025,3762.6,3782.6,18. Noname Noname,Sound FC 06,Lost balls (in opp. half),2nd half,43.4,5.4
3026,3762.6,3782.6,25. Benton Tameling,Seattle United 06 Tango,Challenges (won),2nd half,61.6,62.6
3027,3762.6,3782.6,18. Noname Noname,Sound FC 06,Challenges (lost),2nd half,43.4,5.4
3028,3765.4,3785.4,48. Nalyn Dungel,Seattle United 06 Tango,Positional attacks,2nd half,66.0,63.5
3029,3765.4,3785.4,48. Nalyn Dungel,Seattle United 06 Tango,Picking-ups,2nd half,66.0,63.5
3030,3765.4,3785.4,48. Nalyn Dungel,Seattle United 06 Tango,Picking-ups (in opp. half),2nd half,66.0,63.5
3031,3765.4,3785.4,48. Nalyn Dungel,Seattle United 06 Tango,Passes accurate,2nd half,66.0,63.5
3032,3765.4,3785.4,48. Nalyn Dungel,Seattle United 06 Tango,Positional attacks,2nd half,66.0,63.5
3033,3767.44,3787.44,7. Noname Noname,Sound FC 06,Challenges (won),2nd half,55.3,9.7
3034,3767.44,3787.44,7. Noname Noname,Sound FC 06,Positional attacks,2nd half,55.3,9.7
3035,3767.44,3787.44,33. Kirby Winfield III,Seattle United 06 Tango,Challenges (lost),2nd half,49.7,58.3
3036,3771.38,3791.38,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,2nd half,29.5,58.3
3037,3771.38,3791.38,7. Noname Noname,Sound FC 06,Challenges (lost),2nd half,75.5,9.7
3038,3771.38,3791.38,33. Kirby Winfield III,Seattle United 06 Tango,Challenges (won),2nd half,29.5,58.3
3039,3773.76,3793.76,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,2nd half,34.9,59.7
3040,3773.76,3793.76,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,2nd half,34.9,59.7
3041,3774.95,3794.95,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,2nd half,43.8,63.4
3042,3774.95,3794.95,47. Tate Macdonald,Seattle United 06 Tango,Dribbling,2nd half,43.8,63.4
3043,3774.95,3794.95,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,2nd half,43.8,63.4
3044,3779.88,3799.88,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,2nd half,70.1,59.2
3045,3779.88,3799.88,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,2nd half,86.6,68.0
3046,3779.88,3799.88,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),2nd half,70.1,59.2
3047,3792.11,3812.11,5. Noname Noname,Sound FC 06,Passes accurate,2nd half,25.1,0.0
3048,3792.76,3812.76,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),2nd half,63.9,64.1
